Tornado # in Year;Year;Month;Day;Time (CST);County;Damage Scale;Maximum Path Width (Yards);Path Length (Miles);Fatalities;Injuries;Location;
1;1794;8;NA;NA;NA;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1819;2;15;NA;Washington;NA;NA;27.5;1;NA;8 W Fairford - Saint Stephens;
1;1822;4;16;1700;Morgan;NA;880;NA;NA;NA;Exact Location Unknown;
2;1823;4;6;2100;Morgan;NA;1320;NA;NA;NA;Exact Location Unknown;
1;1823;NA;NA;NA;Chilton;NA;880;NA;NA;NA;Exact Location Unknown;
1;1824;NA;NA;NA;Pickens;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1826;3;29;NA;Montgomery;NA;NA;NA;NA;NA;Near Montgomery;
1;1829;4;25;NA;Tuscaloosa;NA;NA;NA;NA;NA;Exact Location Unknown;
2;1830;12;29;NA;Dallas;NA;NA;NA;3;NA;Selma;
1;1830;5;1;NA;Calhoun;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1831;12;29;NA;Dallas;NA;NA;NA;2;NA;Selma;
1;1834;6;16;1630;Morgan;NA;400;NA;NA;NA;Exact Location Unknown;
5;1840;3;24;1900;Mobile;NA;220;4+;1;2+;Spring Hill-Mobile;
4;1840;3;16;1800;Jefferson;NA;440;NA;NA;NA;Exact Location Unknown;
3;1840;3;10;1800;Blount;NA;880;NA;NA;NA;Exact Location Unknown;
2;1840;NA;NA;NA;Etowah;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1840;NA;NA;NA;Blount;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1842;3;4;0600;Tuscaloosa;NA;NA;19;1;10;WNW Tuscaloosa - SE Windham Springs;
1;1843;NA;NA;NA;Tuscaloosa;NA;200;NA;NA;NA;Exact Location Unknown;
1;1854;3;7;1300;Lee;NA;300;NA;NA;NA;Exact Location Unknown;
1;1855;3;12;NA;Pickens;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1857;5;24;NA;Cherokee;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1858;NA;NA;NA;Lee;NA;440;NA;NA;NA;Exact Location Unknown;
1;1860;2;24;NA;Marengo;NA;NA;0.10;NA;NA;Near Jefferson;
1;1861;11;30;2200;Cleburne;NA;300;NA;NA;NA;Exact Location Unknown;
1;1863;3;4;2300;Cleburne;NA;300;NA;NA;NA;Exact Location Unknown;
2;1864;12;25;0000;Lee;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1864;11;9;Evening;Autauga-Elmore;NA;150;NA;NA;NA;Exact Location Unknown;
1;1865;12;27;NA;NA;NA;NA;NA;15;NA;20 E Montgomery;
4;1866;5;6;NA;Perry;NA;NA;NA;NA;NA;Exact Location Unknown;
3;1866;5;6;2000;Talladega;NA;440;NA;NA;NA;Exact Location Unknown;
2;1866;4;16;2300;Cleburne;NA;300;NA;NA;NA;Exact Location Unknown;
1;1866;NA;NA;NA;Cherokee;NA;NA;NA;NA;NA;Exact Location Unknown;
4;1867;5;26;2000;Cleburne;NA;300;NA;NA;NA;Exact Location Unknown;
3;1867;5;4;0000;Cleburne;NA;300;NA;NA;NA;Exact Location Unknown;
2;1867;4;29;1000;Tuscaloosa;NA;NA;13.0;NA;NA;1 W Tuscaloosa - 12 NE Tuscaloosa;
1;1867;2;15;NA;Calhoun;NA;NA;NA;NA;NA;Exact Location Unknown;
3;1868;5;5;NA;Pickens-Tuscaloosa**;NA;NA;28.7;7;NA;3.8 WSW Macedonia-Moores Bridge;
2;1868;5;5;NA;Talladega;NA;NA;NA;5;NA;3 S Talladega;
1;1868;2;12;1500;Cleburne;NA;300;NA;NA;NA;Exact Location Unknown;
3;1869;5;6;1800;Pickens;NA;150;NA;NA;NA;Exact Location Unknown;
2;1869;4;NA;NA;Talladega;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1869;1;29;0830;Clay;NA;440;NA;NA;NA;Exact Location Unknown;
3;1870;12;24;NA;Calhoun;NA;NA;NA;NA;NA;Exact Location Unknown;
2;1870;4;23;NA;Marshall;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1870;1;NA;0800;Calhoun;NA;NA;NA;NA;NA;Exact Location Unknown;
1;1871;5;1;1000;Coosa - Tallapoosa;NA;0;NA;NA;NA;Exact Location Unknown;
1;1873;11;16;0000;Cleburne;NA;300;NA;NA;NA;Exact Location Unknown;
